review,sentiment
"A lot has been said and written about Interstellar. You can obviously take apart any movie that is out there. You'll either love this one or you won't. I kind of would have loved to have watched this on an IMAX screen, the sheer scope of the whole thing. It's just amazing, what Nolan has put on screen here. It's not only the visual experience (there is no 3D here by the way), it's the story/ride you take with it. It might be clear to some earlier than to others, where it's heading (no pun intended), but it doesn't change",2
"Interstellar is a movie like no other. Unlike many apocalyptic sci-fi films that feature advanced technology as the source of our destruction (ala The Terminator movies), it instead asserts that technology will save us.Not everyone in Interstellar recognizes the potential of advanced technology. Most dismiss it as a waste of time and resources, and not just old curmudgeons feel this way. Thoughtful, intelligent young characters share this sentiment. This belief gained steam following a world-wide blight that wiped out the vast majority of life on earth—crops and humans.Farming became paramount while advanced technology was deemed frivolous. Cooper (McConaughey) remains one",4
A science-fiction masterpiece. Nolan executes a marvelous direction that slowly but efficiently puts in place a dark world creating a necessity to save humanity. Add to that great performances from Nolan and Hathaway plus a great score from Hans Zimmer. The result is on the best science-fiction movies of all time.,5
"After watching this insane movie in the theatres back in 2014 I swore to god I will wait 5 years to watch it again so I get to forget it and experince the insanity it has again
This without doubt is THE BEST MOVIE EVER MADE",1
"I think just about everything has been said about this film now. But, I can still tell you what this masterpiece is to me. To me, this movie is possibly the most relevant movie ever, because it questions our own humanity relative to the Universe. Whether that's our ability to love, think, or persevere and walk into the unknown. We are explorers, and curious at heart. This untameable curiosity is not our end, but our beginning. It is what advanced this civilization and it will continue to do so. So never, never let anybody tell you that we shouldn't look",4
"Amongst the best movies of all time. The story, the acting, the script, the cinematography, the effects, the sound and the production as a whole is all absolute 10/10's.But what beats all of that is Hans Zimmers compositions. How he continues to churn out perfection to the senses is mindblowing.",5
"Sometimes I just need to see the start. Or end. Or a trailer. Or the music and theme from Hans Zimmer. Or the whole movie. Just to feel that thing, I only get from this movie. That the earth, space and time are something special, mystical. I never forget the first time I saw this movie, in an IMAX theatre in 2014. I was struck by it. Totally got me. And it stil does, 7 years later. This is the best movie ever made for me. Because of the feeling it gives me, no other movie can. So hard to",3
Set in a future where crop species are going extinct one after another former test pilot Joseph Cooper is now a farmer growing corn. His daughter Murphey thinks there is a ghost in her room; Cooper doesn't believe in ghosts but accepts that something is there when the dust on the floor is a set of coordinates in binary form. He goes to that location and finds himself at a NASA base where he learns of a secret programme to find another habitable world involving a wormhole discovered near Saturn. He is asked to take part in a mission to,4
"I judge a movie by how long it takes me to realize I need the bathroom, how long the movie can hold my interest and how convincing the events unfolding are. Well, I watched this movie all the way through with no bathroom breaks. My interest was grabbed from the start and held all the way through. Being old enough, and lucky enough to have watched the premiere of 2001 A Space Odyssey - and viewed it several times since - of course I made comparisons, and there were a few, but this movie tells an excellent stand alone story",4
"A team of explorers travel through a wormhole in an attempt to ensure humanity's survival.Going into this I had mixed feelings because some have praised it, others have panned it, and some say it is good with reservations. There were allegedly issues with he sound in theaters, and any number of other issues. Then, when we get to the Oscars, the film gets nominations in the technical fields but not in the top honors.This was wrong. Maybe this is not the best role from Matthew McConaughey or Anne Hathaway. Though, the fact that a ""Hathaway hater"" like myself enjoyed it",4
"I hadn't seen this but movie and caught it on a flight back from the DR. 
One of my favorite movies of all time. I would give the first half of the movie an 11/10, just completely enjoyed it as a sci fi/ thriller(in the sense of so much always being on the line). I loved the acting and just yeah, a great movie and one you should go see if you never have",5
"Hollywood science fiction spectacles about antagonistic aliens abandoning dying worlds to occupy not only Earth, but also to oust us have been popular with moviegoers. Typically, like the European explorers who invaded and disenfranchised millions in the Western Hemisphere during the 15th century, these extraterrestrials—either bug-eyed behemoths with lobster claws or pod people whose seeds have drifted across the cosmos—show up to evict or absorb us. ""Inception"" director Christopher Nolan's latest extravaganza ""Interstellar,"" toplining Matthew McConaughey, Anne Hathaway, Jessica Chastain, Michael Caine, and John Lithgow, is a superior space opera that reverses the action. Earthlings must abandon mother Earth because",1
"I was extremely lucky to get the chance to see this film upon its first day release, before entering the cinema, my expectations were already high, after all, this was a film from the cinematic genius who brought us the likes of 'Inception' and 'The Dark Knight', to summarise the following review in a single sentence: I left the cinema in extreme awe from the visual masterpiece I had just viewed. A film that explores the psychological and emotional state of a man whose life revolves around his family, 'Interstellar' is a thrilling and thought-provoking film that boasts an intellectual",5
"I rate this movie 11/10 to signify it's greatness. Perfection. Mind-blowing. A workout for your brain. I want to have debates about it. I want to write research papers on it. Amazingly unbelievably awesome. This is the kind of movie that opens up your mind. Lots of amazing scenes with epic music. A killer story told flawlessly. Perfect directing by the best ever. Great cast with great acting. A deep psychological aspect explored for numerous characters.The most renowned theoretical physicist who is an expert on cosmology was brought on to keep the science honest, as well as a retired astronaut",5
"(This is both a review of the film, and an assertion of Christopher Nolan's filmmaking style)There have been many reviewers and critics alike that have high praise for the film (the visual effects, the acting, the music), but say how it's not Christopher Nolan's best directed film. This is where i personally would have to disagree. Before i get into it, though, i'll talk about Interstellar a bit.Interstellar is truly a sci-fi epic like no other. To compare said film to '2001: A Space Odyssey' isn't just a disservice, but unnecessary. The films are almost nothing alike, simply sharing small",4
"The earth is plagued with droughts, famines and other apocalyptic disasters. Mankind must find a way to leave planet earth once and for all. An earth-like planet has been discovered in another solar system. A spaceship can travel fast through a wormhole though interstellar space but can Cooper get there and return to earth in time to see his daughter before she grows too old?The Aging of Murph vs her father Cooper the answer is relativity playing a factor in aging - how fast time runs depend on the relative position of the observer and the subject.Incredible movie - HIGHLY",4
"The fate of humanity rests in the hands of a small number of NASA pilots, who travel through a work hole in search of a new home.I've only watched it for the second time, the first being when it first arrived on the big screen. My opinion hasn't altered since the viewing, it's an epic masterpiece, the story holds up remarkably well, but the acting and visuals all contribute to make this film something very special.The story is remarkably good, it's cohesive, well balanced, it makes sense.Matthew McConaughey's best film role still for me, he's awesome as the lead character,",4
"The film begins by establishing at his own rhythm its ambitions: men overexploited land resources, which is why the only goal they have left is to survive. This life is not enough for Cooper, brilliantly played by McConaughey who gave body and soul to this character. But all of this wouldn't hold without the total control of Christopher Nolan, based on the languishing soundtrack by Hans Zimmer, the luminous and impenetrable photography of Hoyte Van Hoytema, and the sincerity of Nolan's directing. He manages to film the characters and to find the right cut at the right time, always in",3
"To this day , many people still talk a lot about Christopher Nolan's ""Batman""-trilogy, but here is his newest work: ""Interstellar"". He gets help from Michael Caine and Anne Hathaway again and a couple more familiar faces. One year after Cuarón with Gravity, he discovers the endless widths of space as well. The difference, however is that a large part of his movie, including the first 40 minutes or so completely, plays down on Planet Earth. However, it is also about survival in space, including two people instead of one though. Or you could probably say the whole human race",4
"The key of this movie may feel like you're watching only a Science-Fiction movie. Most of the times Sci-Fi movies are not great at telling an effective, emotional drama stories. You can't find this type of movie easily, unless you are watching a Sci-Fi movie directed by Christopher Nolan and written by Jonathan Nolan.Mixing those two genres is unique and dangerous. All the Nolan's projects are a bit dangerous and special.Not only the storyline is so great but also nearly all other technical details are great!Brilliant scores that composed by Hans Zimmer.The film editing is just beyond perfect. One of",3
chris Nolan a delivered another original story with with less special effects its more old school stuff with flight simulators done instead of geeen screens with space painted on the outside everything you see in this movie is real as your going to get so here starts the story of a farmer called cooper played by Matthew mconnaughey another Oscar performance who was a N.A.S.A pilot and his family he finds out that there is a problem with earth food sources and stumbles upon a plan to save earth and t leave earth for another world with his daughter he,3
